symbol,sector
PBCT,Financials
PCL,Financials
PFG,Financials
PGR,Financials
PLD,Financials
PNC,Financials
PRU,Financials
PSA,Financials
RF,Financials
SCHW,Financials
SPG,Financials
STI,Financials
STT,Financials
TMK,Financials
TROW,Financials
TRV,Financials
UNM,Financials
USB,Financials
VNO,Financials
VTR,Financials
WFC,Financials
WY,Financials
XL,Financials
ZION,Financials
A,Health Care
ABC,Health Care
ABT,Health Care
ACT,Health Care
AET,Health Care
AGN,Health Care
AMGN,Health Care
BAX,Health Care
BCR,Health Care
BDX,Health Care
BIIB,Health Care
BMY,Health Care
BSX,Health Care
CAH,Health Care
CELG,Health Care
CERN,Health Care
CI,Health Care
DGX,Health Care
DVA,Health Care
ESRX,Health Care
EW,Health Care
FRX,Health Care
GILD,Health Care
HUM,Health Care
ISRG,Health Care
JNJ,Health Care
LH,Health Care
LLY,Health Care
MCK,Health Care
MDT,Health Care
MRK,Health Care
MYL,Health Care
PDCO,Health Care
PFE,Health Care
PKI,Health Care
STJ,Health Care
SYK,Health Care
THC,Health Care
TMO,Health Care
UNH,Health Care
VAR,Health Care
WAT,Health Care
XRAY,Health Care
ZMH,Health Care
APH,Industrials
AVY,Industrials
BA,Industrials
CAT,Industrials
CHRW,Industrials
CMI,Industrials
COL,Industrials
CSX,Industrials
CTAS,Industrials
DE,Industrials
DHR,Industrials
DNB,Industrials
DOV,Industrials
EMR,Industrials
EXPD,Industrials
FAST,Industrials
FDX,Industrials
FLR,Industrials
FLS,Industrials
GD,Industrials
GE,Industrials
GLW,Industrials
GWW,Industrials
HON,Industrials
IR,Industrials
IRM,Industrials
ITW,Industrials
JEC,Industrials
JOY,Industrials
LLL,Industrials
LMT,Industrials
LUV,Industrials
MAS,Industrials
NOC,Industrials
NSC,Industrials
PBI,Industrials
PCAR,Industrials
PCLN,Industrials
PCP,Industrials
PH,Industrials
PLL,Industrials
PWR,Industrials
R,Industrials
RHI,Industrials
ROK,Industrials
ROP,Industrials
RSG,Industrials
RTN,Industrials
SRCL,Industrials
TXT,Industrials
TYC,Industrials
UNP,Industrials
UPS,Industrials
UTX,Industrials
WM,Industrials
AAPL,Information Technology
ACN,Information Technology
ADBE,Information Technology
ADI,Information Technology
ADP,Information Technology
ADSK,Information Technology
AKAM,Information Technology
ALTR,Information Technology
AMAT,Information Technology
BRCM,Information Technology
CA,Information Technology
CSC,Information Technology
CSCO,Information Technology
CTSH,Information Technology
CTXS,Information Technology
EA,Information Technology
EBAY,Information Technology
EMC,Information Technology
FFIV,Information Technology
FIS,Information Technology
FISV,Information Technology
FLIR,Information Technology
HPQ,Information Technology
HRS,Information Technology
IBM,Information Technology
INTC,Information Technology
INTU,Information Technology
JBL,Information Technology
JNPR,Information Technology
KLAC,Information Technology
LLTC,Information Technology
LRCX,Information Technology
MCHP,Information Technology
MSFT,Information Technology
MSI,Information Technology
MU,Information Technology
NFLX,Information Technology
NTAP,Information Technology
NVDA,Information Technology
ORCL,Information Technology
PAYX,Information Technology
QCOM,Information Technology
RHT,Information Technology
SNDK,Information Technology
SYMC,Information Technology
TSS,Information Technology
TXN,Information Technology
VRSN,Information Technology
WDC,Information Technology
XLNX,Information Technology
XRX,Information Technology
YHOO,Information Technology
AA,Materials
APD,Materials
ARG,Materials
ATI,Materials
BLL,Materials
BMS,Materials
DD,Materials
DOW,Materials
ECL,Materials
EMN,Materials
FCX,Materials
FMC,Materials
IFF,Materials
IP,Materials
MON,Materials
MWV,Materials
NEM,Materials
NUE,Materials
OI,Materials
PPG,Materials
PX,Materials
SEE,Materials
SIAL,Materials
VMC,Materials
X,Materials
CCI,Telecommunications Services
CTL,Telecommunications Services
FTR,Telecommunications Services
T,Telecommunications Services
VZ,Telecommunications Services
AEE,Utilities
AEP,Utilities
AES,Utilities
CMS,Utilities
CNP,Utilities
D,Utilities
DTE,Utilities
DUK,Utilities
ED,Utilities
EIX,Utilities
EQT,Utilities
ETR,Utilities
EXC,Utilities
FE,Utilities
GAS,Utilities
NEE,Utilities
NI,Utilities
NRG,Utilities
NU,Utilities
OKE,Utilities
PCG,Utilities
PNW,Utilities
POM,Utilities
PPL,Utilities
SCG,Utilities
SO,Utilities
SRE,Utilities
TE,Utilities
TEG,Utilities
WEC,Utilities
XEL,Utilities
